point_id,pointname,office_id,latitude,longitude,address
717,豊浜,32,346775,1379017,磐田市豊浜
718,敷地,32,348436,1378808,磐田市岩室
720,黒俣,32,348944,1380355,掛川市黒俣
721,原野谷,32,348602,1380080,掛川市原野谷
722,孕丹橋,32,348531,1380247,掛川市孕石
723,太田川ダム管理所,32,349061,1379961,周智郡森町亀久保
801,川竹,30,350347,1380294,浜松市天竜区春野町川竹
802,門桁,30,351269,1379289,浜松市天竜区水窪町山住
803,坂野,30,349761,1377289,浜松市天竜区佐久間町浦川
804,天竜,30,348469,1378122,浜松市天竜区二俣町鹿島
810,水窪,30,351655,1378717,浜松市天竜区水窪町奥領家
811,春野,30,349780,1379014,浜松市天竜区春野町宮川
812,佐久間,30,350883,1378178,浜松市天竜区佐久間町佐久間
813,龍山,30,349683,1378333,浜松市天竜区龍山町戸倉
901,浜北,30,347894,1377931,浜松市浜北区西美薗
902,本坂,30,347938,1375031,浜松市北区三ヶ日町本坂
903,湖西,30,347152,1375344,湖西市吉美
904,浜松,30,347069,1377378,浜松市中区中央一丁目
908,堀留,30,346927,1376928,浜松市西区入野
913,細江,30,348147,1376633,浜松市北区細江町小野
914,新居,30,346897,1375839,湖西市新居町新居
915,初生,30,347661,1377300,浜松市北区初生
918,田沢,30,348994,1376556,浜松市北区引佐町四方浄
1001,都田川ダム(農),30,348725,1377283,浜松市北区引佐町川名
1002,渋川(農),30,349261,1376981,浜松市北区引佐町渋川
2000,天城,40,348769,1389772,伊豆市大字筏場字入天城
2001,上大見,40,349208,1390022,伊豆市地蔵堂原保
2002,中伊豆,40,349986,1390350,伊豆市上白岩字石上
2003,湯ヶ島,40,348669,1389325,伊豆市湯ヶ島
2004,持越,40,348786,1388852,伊豆市大字湯ヶ島字桐山
2005,柿木,40,349355,1389225,伊豆市本柿木字仲村
2006,達磨山,40,349702,1388830,伊豆市修善寺字藤ヶ平
2009,丹那,40,351069,1390167,田方郡函南町丹那
2010,市ノ瀬,40,351686,1389786,三島市字蟇が沢
2011,丸岳,40,352525,1389494,御殿場市神山字東山
2012,愛鷹,40,351886,1388733,裾野市大字大畑丸塚
2014,戸持,20,352536,1383522,静岡市葵区梅ヶ島
2015,玉川,20,351422,1383336,静岡市葵区柿島
2016,川島,20,351408,1382988,静岡市葵区大沢
2017,牛妻,20,350677,1383730,静岡市葵区牛妻
2018,大川,20,351150,1382213,静岡市葵区楢尾
2019,奈良間,20,350122,1382725,静岡市葵区奈良間
2020,静岡,20,349655,1383675,静岡市葵区田町
2022,大間,21,351811,1381155,榛原郡川根本町字奥泉於鶴作
2023,上川根,21,351052,1381619,榛原郡川根本町藤川
2024,笹間,21,350263,1381633,島田市川根町笹間上
2025,塩本,21,349583,1380280,島田市川根町家山
2027,北山,99,360227,1382180,茅野市湖東
2028,片桐松川,99,356225,1378783,長野県下伊那郡松川町大字上片桐
2029,小黒,99,358452,1382180,---
2030,赤穂,99,357280,1379347,駒ヶ根市上穂南
2031,小野,99,360427,1379700,長野県上伊那郡辰野町大字小野
2032,箕輪,99,358905,1379113,伊那市大字西箕輪字長胴
2033,太田切,99,357583,1378536,長野県上伊那郡宮田村
2034,下浜,99,360488,1380516,岡谷市湊字牛首
