obs_time,point_id,rain_10min,rain_60min,rain_integ_resetspc
2014-04-30 00:00:00+09,310,0,0,50
2014-04-30 00:00:00+09,311,0,0,60
2014-04-30 00:00:00+09,313,0,0,60
2014-04-30 00:00:00+09,314,0,0,60
2014-04-30 00:00:00+09,316,0,0,50
2014-04-30 00:00:00+09,317,0,10,70
2014-04-30 00:00:00+09,318,0,10,60
2014-04-30 00:00:00+09,401,0,10,80
2014-04-30 00:00:00+09,402,10,20,100
2014-04-30 00:00:00+09,403,0,10,110
2014-04-30 00:00:00+09,404,10,20,140
2014-04-30 00:00:00+09,405,10,20,130
2014-04-30 00:00:00+09,406,10,30,170
2014-04-30 00:00:00+09,407,10,30,150
2014-04-30 00:00:00+09,412,10,20,120
2014-04-30 00:00:00+09,418,10,30,130
2014-04-30 00:00:00+09,419,10,20,110
2014-04-30 00:00:00+09,420,10,30,130
2014-04-30 00:00:00+09,422,10,30,150
2014-04-30 00:00:00+09,423,0,10,110
2014-04-30 00:00:00+09,424,10,20,120
2014-04-30 00:00:00+09,426,0,10,90
2014-04-30 00:00:00+09,427,0,30,150
2014-04-30 00:00:00+09,434,0,20,130
2014-04-30 00:00:00+09,501,10,30,170
2014-04-30 00:00:00+09,502,10,30,200
2014-04-30 00:00:00+09,503,0,10,150
2014-04-30 00:00:00+09,506,0,20,210
2014-04-30 00:00:00+09,511,0,10,140
2014-04-30 00:00:00+09,512,0,20,170
2014-04-30 00:00:00+09,513,10,30,180
2014-04-30 00:00:00+09,514,10,20,130
2014-04-30 00:00:00+09,601,10,10,140
2014-04-30 00:00:00+09,602,0,0,120
2014-04-30 00:00:00+09,603,0,0,100
2014-04-30 00:00:00+09,609,0,0,120
2014-04-30 00:00:00+09,701,0,20,210
2014-04-30 00:00:00+09,702,0,10,170
2014-04-30 00:00:00+09,703,0,0,180
2014-04-30 00:00:00+09,706,0,0,160
2014-04-30 00:00:00+09,707,0,0,160
2014-04-30 00:00:00+09,708,0,0,130
2014-04-30 00:00:00+09,709,0,0,160
2014-04-30 00:00:00+09,715,0,0,170
2014-04-30 00:00:00+09,716,10,10,130
2014-04-30 00:00:00+09,717,0,0,140
2014-04-30 00:00:00+09,718,0,0,190
2014-04-30 00:00:00+09,720,0,10,210
2014-04-30 00:00:00+09,721,0,10,190
2014-04-30 00:00:00+09,722,0,10,180
2014-04-30 00:00:00+09,723,0,10,210
2014-04-30 00:00:00+09,801,0,30,200
2014-04-30 00:00:00+09,802,10,30,170
2014-04-30 00:00:00+09,803,0,10,260
2014-04-30 00:00:00+09,804,0,0,200
2014-04-30 00:00:00+09,810,10,20,170
2014-04-30 00:00:00+09,811,10,30,240
2014-04-30 00:00:00+09,812,0,20,180
2014-04-30 00:00:00+09,813,0,20,230
2014-04-30 00:00:00+09,901,0,0,190
2014-04-30 00:00:00+09,902,0,0,210
2014-04-30 00:00:00+09,903,0,0,150
2014-04-30 00:00:00+09,904,0,0,130
2014-04-30 00:00:00+09,908,0,0,130
2014-04-30 00:00:00+09,913,0,10,240
2014-04-30 00:00:00+09,914,0,10,160
2014-04-30 00:00:00+09,915,0,0,200
2014-04-30 00:00:00+09,918,10,10,230
2014-04-30 00:00:00+09,1001,10,10,240
2014-04-30 00:00:00+09,1002,0,0,210
2014-04-30 00:00:00+09,2000,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2001,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2002,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2003,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2004,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2005,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2006,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2009,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2010,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2011,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2012,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2014,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2015,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2016,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2017,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2018,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2019,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2020,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2022,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2023,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2024,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2025,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2027,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2028,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2029,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2030,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2031,0,-1111111111,-1111111111
2014-04-30 00:00:00+09,2032,0,-1111111111,-1111111111
